"Symptom Type","Reporter Comment"
"Assembly Issue","missing back up alarm"
"4 - Quality Issue - Functional","TC1 multicon was faulty, made SC50 autonomy module not respond. Multicon was replaced. S/N is 02012021010614455704"
"2 - Quality Issue - Appearance","SW8000/M651 has intermediate cover gap."
"Assembly Issue","M651/SW8000 - Hopper door can't close but was able to be able."
"2 - Quality Issue - Appearance","SW8000/M651 has scratches on broom lift stop plate weldment."
"Assembly Issue","Right side 2D hokuyo sensor isn't passing no go test. Keeps showing orange and green instead of red."
"Assembly Issue","Right side 2D hokuyo sensor isn't passing no go test. Keeps showing orange and green instead of red."
"Assembly Issue","SW8000/M661 main broom door latch is not properly lineup, door has to be pulled up before latch click."
"5 - Quality Issue - Assembly","Loose deck linkage arms "
"7 - Training","Leaving with dev 5416, regarding FW version "
"4 - Quality Issue - Functional"," SW8000/M869  reservoir tank has a leak."
"Assembly Issue","FL857 SC50 Liberty - machine does not power on "
"Part Shortage","n397/sc6500: out of side broom lift arm"
"Part Shortage","n169/sc6500: out of recovery tanks"
"4 - Quality Issue - Functional","SC50/FL861 scrub deck is low did not pass the FQC jig "
"5 - Quality Issue - Assembly","SW8000/M657 Main broom door latch is not line up right. It has to be left up be lifted before closing right."
"5 - Quality Issue - Assembly","SW8000/M481 hot test plug was loose "
"7 - Training","SW8000/M481 This is a new guy, he need more training on how to use VF "
"Part Shortage","CS7010/M469 has part shortage (56509401) Upper Hopper."
"Part Shortage","CS7010/M465 has a part shortage (56509401) Upper Hopper"
"5 - Quality Issue - Assembly","Missing decal "
"Assembly Issue","can't clock out the machine from main 8. There's a FQC hold on the machine."
"2 - Quality Issue - Appearance","SW8000/M481 has intermediate cover gaps."
"2 - Quality Issue - Appearance","N369: loctite on solution tank."
"2 - Quality Issue - Appearance","N146: loctite on solution tank."
"5 - Quality Issue - Assembly","N146: this is a EDC machine. No backup alarm which it is a standard option for it. Informed to Nou from 254 EOL."
"Assembly Issue","SW8000-M1173- two loose hose. steering hydridic and one by the hydridic box  "
"Assembly Issue","SW8000/1173 - Steering wheel is hard when you try to turn it."
"Part Shortage","n198/sc6500: out of recovery tanks"
"Assembly Issue","missing back up alarm"
"4 - Quality Issue - Functional","CS7010/ M435 has a leak under hopper "
"Part Shortage","n146/sc6500: out of recovery tanks"
"Part Shortage","N146/sc6500: out of lower shourds"
"5 - Quality Issue - Assembly","CS7010/M434 the gasket on the engine cover assys is loose "
"5 - Quality Issue - Assembly","CS7010/M434 left door assys one of the screws is loose "
"Assembly Issue","FL861 Lithium ion UVGI - Solution pump is not connected. Connector is zip tied the opposite direction and the solution pump wire won't reach."
"2 - Quality Issue - Appearance","SW8000/M1173 Solution tank cover has a gap, and as well as engine cover scratches solution tank when closing."
"2 - Quality Issue - Appearance","SW8000/M1173 Solution tank cover has a gap, and as well as engine cover scratches solution tank when closing."
"Assembly Issue","FL861 SC50 Lithium ion UVGI doesn't playback recorded plan sent to it. Stops in place and shows Fault code 5-e602 Drop-off Calibration."
"5 - Quality Issue - Assembly","CS7010/M465 Main broom door latch is not clicking correctly."
"2 - Quality Issue - Appearance","Intermediate cover gap "
"5 - Quality Issue - Assembly","N198: actuator fail the jig when close. Must rework before installing the solution tank."
"5 - Quality Issue - Assembly","CS7010/M662 Quick link cable is damaged "
"4 - Quality Issue - Functional","CS7010/M662 scrub deck it too tight, scrub pates is not supposed to be pushing up the white rubber "
"Assembly Issue","FL861 SC50 Liberty - low battery "
"4 - Quality Issue - Functional","CS7010/M662 Nonconformance: Scrub Deck Actuator does not time out correctly."
"7 - Training","UVGI PN AND SNs 
5612815 - structure mount - SN 8689
56122816 - Ballast assembly - SN 9392"
"Assembly Issue","FL862 SC50 Liberty - out of decal (651250940 "
"5 - Quality Issue - Assembly","N169: actuator for squeegee fail the jig when close. "
"Assembly Issue","FL861 SC50 Liberty - machine does not power on "
"2 - Quality Issue - Appearance","FL862: scratches on electrical panel."
"5 - Quality Issue - Assembly","FL862: cable from the right side are connected wrong for the laser and breakout box. FF and RR cable should connect with the same label. Please review work instructions."
"Assembly Issue","Visual factory is not showing UVGI instructions on lithium ion combat 2 build. Can not input serial number required for UVGI kit."
"5 - Quality Issue - Assembly","N125: steering wheel is not full complete assemble due to missing lower column shroud. "
"5 - Quality Issue - Assembly","N125: missing side door panel."
"Assembly Issue","missing back up alarm"
"Part Shortage","N125/sc6500: out of recovery tanks"
"Part Shortage","N125/sc6500 out of recovery tank lids"
"Part Shortage","N125/sc6500: out of lower steering column shroud "
"2 - Quality Issue - Appearance","SW8000/M360 latch touching solution tank and could cause scratches."
"2 - Quality Issue - Appearance","SW8000/M360 engine cover from the left side scratching solution tank."
"Assembly Issue","backup alarm doesn't work."
"5 - Quality Issue - Assembly","N146: actuator for side broom fail the jig. Must rework before install solution tank."
"5 - Quality Issue - Assembly","N125: lid for solution tank is too tight or having difficult to open."
"4 - Quality Issue - Functional","SW8000/M360 Amber strobe for OHG is not coming on. Part number (56507039)."
"5 - Quality Issue - Assembly","SC50/FL856 loose zip tie "
"5 - Quality Issue - Assembly","SC50/FL856 harness router wrong, from this view it looks like if it were loose."
"5 - Quality Issue - Assembly","SC50/FL856 detergent bottle is missing "
"5 - Quality Issue - Assembly","SC50/FL856 connectors for the 3D camera are loose (or am I to strong 🤔🤔) "
"5 - Quality Issue - Assembly","FL861: screw is strip from electrical panel. "
"Part Shortage","missing flap sw8000"
"5 - Quality Issue - Assembly","N125: yellow knob fail the jig. "
"5 - Quality Issue - Assembly","N146: missing grease from the wheel caster on both side."
"5 - Quality Issue - Assembly","N125: missing grease on both sides of the wheel caster."
"5 - Quality Issue - Assembly","N125: actuator for squeegee fail the jig. Must rework before install recovery tank."
"Assembly Issue","7765/M591 MISSING ALL THE PARTS (FROM SUB 2)"
"Part Shortage","N066: missing top hood cover for recovery tank."
"Part Shortage","N394: missing top hood cover for recovery tank."
"5 - Quality Issue - Assembly","N395: missing holes for beacon kit from solution tank."
"Part Shortage","N368: missing top hood cover for recovery tank."
"5 - Quality Issue - Assembly","N368: recovery tank is touching the chassis which cause the lanyard to have slack. "
"2 - Quality Issue - Appearance","N369: dirty hopper."
"Part Shortage","N369: missing top hood recovery tank."
"5 - Quality Issue - Assembly","N393: missing holes on solution tank odor beacon kit."
"2 - Quality Issue - Appearance","P001: dirty hopper."
"2 - Quality Issue - Appearance","N393: dirty hopper. Must be clean from bay 3. No work instruction, however should be common sense to clean it before installed. Must review with IQC & engineer. "
"5 - Quality Issue - Assembly","SW8000/M360  Right side hopper latch looks off and touching hopper."
"5 - Quality Issue - Assembly","N393: recovery tank is touching the chassis."
"5 - Quality Issue - Assembly","CS7010/M636 connector for the controller-traction drive A4 is loose "
"Part Shortage","N393: missing top hood recovery tank (56413155). Preventing EOL to test the machine."
"Part Shortage","P001: missing top hood recovery tank (56413155). Preventing EOL to test the machine."
"5 - Quality Issue - Assembly","CS7010/M662 Brake pedal assembly hitting cover Weldment when coming back from forward position.  "
"Assembly Issue","Dump door actuator isn't working."
"Assembly Issue","SC8000/M869 missing steering column (from sub 2)"
"Part Shortage","N395/sc6500 out of recovery lids"
"Part Shortage","N394/SC6500: out of recovery tank lids"
"5 - Quality Issue - Assembly","SC50/FL855 squeegee arms link loose."
"Part Shortage","missing side broom guard cs7010"
"Assembly Issue","CS7010-M635-missing debris basket. just waiting for it to come"
"Assembly Issue","CS7010-M 635- wire is hanging low by middle scrub deck "
"Part Shortage","N393/SC6500: missing recovery tank lid"
"4 - Quality Issue - Functional","CS7010/ M536 Dump door makes little noises from the left upper corner when opening and closing. It’s possible that the dump door rubber is touching the hopper plastic."
"4 - Quality Issue - Functional","Do not ship the machine until we don’t clarify the echo flex option,"
"2 - Quality Issue - Appearance","CS7010/M536 Debris basket and inside solution tank is dirty."
"5 - Quality Issue - Assembly","Loose hardware "
"2 - Quality Issue - Appearance","FL854: leftover tape in recovery tank."
"5 - Quality Issue - Assembly","FL854: machine making noise while brush is turn on from the actuator and deck lift plate."
"Assembly Issue","Status for UVGI is glowing red on all 3 indicators. Fan is running but there is no UV light glowing."
"5 - Quality Issue - Assembly","Missing spare filter "
"Assembly Issue","SC8000/M869 missing valve black Assy (sub2)"
"5 - Quality Issue - Assembly","SW8000/ M357 upper hopper is not straight; possible cause bushes; or hopper."
"5 - Quality Issue - Assembly","FL854: deck height fail the height gauge."
"5 - Quality Issue - Assembly","FL854: drive wheel chain is tight. Should be 1/4 of movement."
"5 - Quality Issue - Assembly","CS7010/M541 strainer relief is loose"
"5 - Quality Issue - Assembly","N369: missing grease on both wheel caster. "
"5 - Quality Issue - Assembly","N368: missing blue arrow chain decals from the front and rear."
"2 - Quality Issue - Appearance","N368: exterior solution tank need to be clean. Insure it is clean before FQC receive it."
"5 - Quality Issue - Assembly","P001: this is a advance machine which does not require a back up alarm. Please review LN and BOM printout."
"Part Shortage","N369/SC6500: Out of recovery tanks"
"Part Shortage","P001/SC6500: out of recovery tanks"
"Part Shortage","N368/sc6500: missing recovery tank"
"5 - Quality Issue - Assembly","CS7010/M535 Circuit breaker panel not lined up properly.see photo."
"2 - Quality Issue - Appearance","CS7010/M1245 hydraulic torque seal fitting for hopper not properly replaced "
"Part Shortage","7765-M513-high flow filter "
"5 - Quality Issue - Assembly","CS7010/M1245 power module has some loose wires "
"5 - Quality Issue - Assembly","Cs7010/M1245 left roller bumper latch is too tight, not very easy to unlatch "
"5 - Quality Issue - Assembly","CS7010/M1245 wrong decal installed this is a US machine not a EDC machine "
"4 - Quality Issue - Functional","CS7010M539 dust guard kits left side is not working "
"5 - Quality Issue - Assembly","N051: in test mode, machine make noises when main brush is on which making contact with white spacer. But doesn’t not make noise when deck is down while main brush is on. Approve pass by Nic, Tyler & Jacob."
"2 - Quality Issue - Appearance","CS7010/M539 tape tag left on machine "
"Part Shortage","Missing steering column from sub 2"
"2 - Quality Issue - Appearance","CS7010/M539 hopper cover has some scratches left from the latch "
"5 - Quality Issue - Assembly","CS7010/M539  squeegee guard is getting stuck when is down (might be blueprint that needs adjust)"
"5 - Quality Issue - Assembly","CS7010/M538 missing engine tag "
"5 - Quality Issue - Assembly","Fault history not cleared "
"5 - Quality Issue - Assembly","CS7010M586 wash hose fittings are loose, this is causing a leak "
"5 - Quality Issue - Assembly","CS7010/M856 solution pump wires are loose"
"2 - Quality Issue - Appearance","CS7010/M586 recovery tank has a very visible scratch on back "
"5 - Quality Issue - Assembly","CS7010/M586 power module 2 harness are loose"
"5 - Quality Issue - Assembly","CS7010/M586 left back roller bumper latch is to tight, can not be smoothie open "
"5 - Quality Issue - Assembly","CS7010M8586 Missing L wrench for recovery tank clean out "
"4 - Quality Issue - Functional","CS7010/M586 squeegee guard is getting stuck when is down (might be blueprint that needs adjust) "
"Part Shortage","missing hopper cover cs7010"
"Assembly Issue","M536/CS7010 - While driving, error code, Check engine, showed up but when engine is turned off, it no longer shows it until it is driven again."
"Assembly Issue","N-051-Sc6500-Deck is making loud noise"
"Assembly Issue","M536/CS7010 - Needs box label, ran out of box label paper."
"Assembly Issue","CS7010-M541-missing super duty kit"
"Part Shortage","N066/SC6500 missing recovery tank"
"Part Shortage","Missing steering column from sub 2"
"Assembly Issue","M479/CS7010 - have no box label, ran out of paper for the box label"
"5 - Quality Issue - Assembly","CS7010/M353 Main broom needs to be adjusted, it has some tension when try to open "
"Assembly Issue","M586/CS7010 - Left side broom is higher than right side broom."
"Assembly Issue","CS7010-M541-no box label for machine ran out of paper (paper sticker)"
"Assembly Issue","CS7010-M586-no box label for machine"
"5 - Quality Issue - Assembly","SC65/N050 solution tank lid won’t lock it close but go to lock, very easy to open "
"Part Shortage","missing recovery lid for vac side"
"Part Shortage","Missing recovery tank lid for motor side"
"5 - Quality Issue - Assembly","CS7010/ M541 signal light bracket is touching (56383040) .Angle degree is at 7. Angles degree determine at 6 & 10 degree. "
"4 - Quality Issue - Functional","CS7010/M541 left side front turn signal kit is not coming on."
"3 - Quality Issue - Supplier","SC6500/N049 latch the hold the recovery tank is not latching, easy to remove "
"Part Shortage","missing shaker cs7010"
"4 - Quality Issue - Functional","CS7010/M541 Engine making cranking noise, but does not ignite."
"5 - Quality Issue - Assembly","SC6500N049 missing none steps decal for main broom right side "
"5 - Quality Issue - Assembly","SC6500/N049 solution tank lid is not staying close "
"Assembly Issue","FL853 SC50 Liberty- water leaking from valve elbow "
"Assembly Issue","FL853 SC50 Liberty- water leaking from valve elbow "
"5 - Quality Issue - Assembly","N050: left side broom is lower than right side broom. Need to re-adjust."
"2 - Quality Issue - Appearance","SC6500/N375 recovery tank came back dirty after rework "
"5 - Quality Issue - Assembly","SC6500/N374 battery cable is not cover "
"5 - Quality Issue - Assembly","SC6500/N374 missing one battery spacer "
"5 - Quality Issue - Assembly","SC6500/N374 missing holes for beacon kit "
"4 - Quality Issue - Functional","SC6500/N375 leak coming from the solution t valve "
"5 - Quality Issue - Assembly","SC6500/N375 left side broom is touching the floor and might be loose "
"Assembly Issue","N050-Sc6500-Missing side rear panel"
"2 - Quality Issue - Appearance","SC6500/N375 very visible scratch on back of the recovery tank "
"5 - Quality Issue - Assembly","SC6500/N375 spacer battery tray not properly place it "
"5 - Quality Issue - Assembly","N119: recovery tank is not installed correctly."
"2 - Quality Issue - Appearance","N119: scratches on recovery tank."
"2 - Quality Issue - Appearance","N049: scratch on door panel for battery."
"2 - Quality Issue - Appearance","N049: scratch on door panel for battery."
"5 - Quality Issue - Assembly","Leaking oil on dump door fitting,"
"5 - Quality Issue - Assembly","Leaking oil on dump door fitting,"
"5 - Quality Issue - Assembly","Leaking oil on dump door fitting,"
"5 - Quality Issue - Assembly","Installed wrong filter on hopper. This machine gets high flow filter option."
"2 - Quality Issue - Appearance","FL853: minor scratches on electrical panel."
"2 - Quality Issue - Appearance","N050: screw for prop is strip. When replacing the screw, insure the prop is free falling."
"5 - Quality Issue - Assembly","N050: prop for supporting recovery tank hood cover should be free falling and screw is strip."
"Part Shortage","missing hopper "
"Assembly Issue","N375-Sc6500-Miissing Rear side panel"
"2 - Quality Issue - Appearance","CS7010/M539 has foreign material installed on hopper lift weldment ."
"2 - Quality Issue - Appearance","N119: Hopper for deck is dirty."
"5 - Quality Issue - Assembly","N119: option for battery cable was not assemble."
"5 - Quality Issue - Assembly","N119: EDC machine, missing Floor Mat Kit which it is a standard option."
"Part Shortage","N050: missing 2 pins for deck. "
"5 - Quality Issue - Assembly","N375: missing filter and screen pan from recovery tank."
"5 - Quality Issue - Assembly","7765/M368 the door hopper dump it is not center properly, right side have a gap when the left side does not a this becomes a problem, because when the dump door is close and opens it is scratching hopper on the inside "
"Assembly Issue","N374-Sc6500- Missing Rear side panel "
"Assembly Issue","N-374-Sc6500- Missing deck C roller rear"
"Part Shortage","Missing steering column from sub 2"
"2 - Quality Issue - Appearance","M368: scratches interior hopper."
"5 - Quality Issue - Assembly","Missing cap on hot test plug"
"5 - Quality Issue - Assembly","CS7010/ M539 has a recovery tank clean out kit installed and was not listed on options list."
"Assembly Issue","M368/7765 - Needs SN for overheard guard, working on it."
"5 - Quality Issue - Assembly","7765/M577 loose wire next to engine "
"5 - Quality Issue - Assembly","7765/M577 torque seal not apply properly on hopper cylinder fittings "
"5 - Quality Issue - Assembly","7765/M577 shaker motor wiring was not connected "
"5 - Quality Issue - Assembly","N050: yellow knob for both side were in the wrong position which fail the jig."
"Assembly Issue","SWAPPED CELL GATEWAY HARNESS  AND TC1 7 TIMES. 2 OUT OF THE 7 TRACKCLEANS WERE ABLE TO BE PAIRED. EACH OF THE 2 PAIRED ONLY SHOWED 2 OUT OF THE 3 CHECK MARKS."
"5 - Quality Issue - Assembly","N049: battery side rear door loose. "
"5 - Quality Issue - Assembly","N049: battery side door I’d dented."
"5 - Quality Issue - Assembly","Edc cable kit not assembled "
"5 - Quality Issue - Assembly","CS7010/M696 Missing debris basket "
"4 - Quality Issue - Functional","FL852: fault code recurring Obstructed Left Prox (5-E409). Visible scratches on lens.  "
"4 - Quality Issue - Functional","FL852: fault code recurring Obstructed Left Prox (5-E409). Visible scratches on lens.  "
"5 - Quality Issue - Assembly","7765/M577 had deep scratches on it instrument panel.see photo"
"5 - Quality Issue - Assembly","CS7010/M577 has a deep scratch mark on it instrument panel."
"5 - Quality Issue - Assembly","N375: this machine is a advance 48C with no option for floor mat kit. Mat kit is not require."
"Assembly Issue","N049-Sc6500-Lose steering wheel chain"
"Assembly Issue","right door hitting hopper
"
"Assembly Issue","Solution tank warping pushes electrical panel cover forward too far. Cannot align floor plate with holes. Put machine under racks. "
"Assembly Issue","7765-M577-side skirt is not going down "
"5 - Quality Issue - Assembly","7765/ M368 Missing option on dual feed L Tank part number (56514862)"
"2 - Quality Issue - Appearance","Concaved recovery tank lid"
"5 - Quality Issue - Assembly","N375: missing 2 pins (56413818)."
"5 - Quality Issue - Assembly","SC50/FL851 right breakout connector ( short cable it is supposed to go to the front ) and it was installed the other way around ( following the work instructions for F.Q.C. this is how it shows to be done )"
"5 - Quality Issue - Assembly","FL852: cables are routed correctly, however they should not be tangle or overlap each other. And missing zip tie for main harness."
"5 - Quality Issue - Assembly","SC6500/N041 sensor level has a leak "
"2 - Quality Issue - Appearance","Sc6500/N041 poor cleaning on solution tank "
"5 - Quality Issue - Assembly","SC6500/N041 missing both side skirts "
"5 - Quality Issue - Assembly","N041: missing decals."
"5 - Quality Issue - Assembly","N041: screws from recovery tank are still loose."
"Part Shortage","CS7010/M539 - Missing 56509698 ( LT SB guard weld ) "
"5 - Quality Issue - Assembly","CS7010/M1245 Missing front bumper/ out of stock."
"5 - Quality Issue - Assembly","FL852: cable connector from laser and breakout box were routed wrong."
"5 - Quality Issue - Assembly","N375: both side knob from the rear fail the jig."
"5 - Quality Issue - Assembly","N375: actuator for brushes fail the jig."
"5 - Quality Issue - Assembly","N375: actuator for brushes fail the jig."
"Part Shortage","N375: also missing spiral tube from Bay 2."
"5 - Quality Issue - Assembly","N050: no grease were apply to both caster wheel. "
"5 - Quality Issue - Assembly","SC50/FL851 right breakout connector ( short cable it is supposed to go to the front ) and it was installed the other way around "
"Assembly Issue","7765/M513 missing broom lift control valve from sub2"
"Part Shortage","Missing 1qty pins"
"5 - Quality Issue - Assembly","N041: loose screws from recovery tank. "
"5 - Quality Issue - Assembly",
"5 - Quality Issue - Assembly","SC6500/N042 one of the bolts on lid is loose"
"5 - Quality Issue - Assembly","FL852: missing space guide and squeegee rotation."
"5 - Quality Issue - Assembly","SW8000/M446 battery cable are loose, it just pop up "
"5 - Quality Issue - Assembly","SW8000/M446 decal warning hopper is not properly installed "
"5 - Quality Issue - Assembly","SW8000/M446 valve assy for side broom is loose"
"5 - Quality Issue - Assembly","SC6500/N042 one of the bolts on lid is loose "
"2 - Quality Issue - Appearance","SC6500/N042 squeegee nut thumbs are dirty "
"2 - Quality Issue - Appearance","CS6500/N042 recovery tank have a lot of debris inside "
"2 - Quality Issue - Appearance","SC6500/N042 tape left on recovery tank "
"5 - Quality Issue - Assembly","SC6500/N042 side panel assembly is not installed properly "
"2 - Quality Issue - Appearance","SC6500/N042 circuit breaker decal is a little damaged "
"4 - Quality Issue - Functional","M577/7765: Shaker Motor doesn't work when the Machine is off. The Horn does though."
"4 - Quality Issue - Functional","M577/7765: Headlights do not work when the headlights button is pulled."
"5 - Quality Issue - Assembly","M696/CS7010: Connection is loose on 36V Contactor. "
"Assembly Issue","7765/M513 missing manifold from sub2"
"Assembly Issue","7765/M513 Missing main control valve from sub2"
"Assembly Issue","7765/M513 missing cylinder control valve from sub 2"
"Assembly Issue","7765/M513 missing side broom valve from sub2"
"Assembly Issue","N042-Sc6500- Missing screw on gas paddle "
"5 - Quality Issue - Assembly","N042: No grease on caster wheel."
"5 - Quality Issue - Assembly","N041: No grease on caster wheel."
"5 - Quality Issue - Assembly","Fl851: no loctite on sprocket."
"2 - Quality Issue - Appearance","FL851: left over tape on recovery tank."
"5 - Quality Issue - Assembly","N119: no grease on caster wheel."
"5 - Quality Issue - Assembly","N049: no grease on caster wheel."
"5 - Quality Issue - Assembly","N374: no grease on caster wheel."
"Assembly Issue","N042-Sc6500-Steering wheel chain is loose"
"Assembly Issue","N042/Sc6500-Recovery tank robbing on the solution tank "
"5 - Quality Issue - Assembly","N119: actuator fail on the jig spect when operated to open."
"5 - Quality Issue - Assembly","N041: possible water leaks from the level switch."
"5 - Quality Issue - Assembly","M1245/CS7010: Upper Hopper is misaligned to the Hopper Weldment. This is causing a misalignment in closing the Hopper Cover. The JIG was never used for the correct gap."
"Part Shortage","N119: missing part for Hose Spiral (56303394) for connecting the Tee Barb and Value Solenoid. "
"Part Shortage","N049: missing part for Hose Spiral (56303394) for connecting the Tee Barb and Value Solenoid. "
"5 - Quality Issue - Assembly","Prop rod hitting solution tank when trying to engage"
"5 - Quality Issue - Assembly","Improper torque seal and all over parts behind"
"Part Shortage","Missing steering column from sub 2"
"Assembly Issue","7765/M513 missing broom doors from sub2"
"5 - Quality Issue - Assembly","FL851: chemical tube is routed wrong to connect with elbow barb from deck. Should be routed over main harness. Not under. This can cause the tube to get caught from the drive wheel."
"5 - Quality Issue - Assembly","FL850: no Loctite on decal pad for the 6 screws and little to no Loctite on sprocket from drive wheel."
"5 - Quality Issue - Assembly","SC50/FL849 deck and sprocket has no Lactite.  "
"5 - Quality Issue - Assembly","CS7010/M1066 this machine is an ADVACE one it does not call for ferret kit, although it was add it to "
"5 - Quality Issue - Assembly","CS7010/M1066 power module 2 have loose cables "
"4 - Quality Issue - Functional","CS7010/M1066  SCRUB DECK is to thigh, when checking the output test is not working "
"5 - Quality Issue - Assembly","CS7010/M1066 Pullrod is hitting rotor mold, not allowing to secure the bar, nut will need to be adjusted in order to let the pullrod to move freely "
"5 - Quality Issue - Assembly","M1066/CS7010: Hopper Guard has loose hardware."
"5 - Quality Issue - Assembly","SC50/FL849 has two loose screws on panel."
"4 - Quality Issue - Functional","N041: Center brush motor contactor coil overload. Contactor K3 is for the center motor on three-motor decks. K3 is for the left motor on two-motor decks. Check for a K3 coil wiring problem or a short circuit (wire colors VIO and WHT/VIO). Check the coil resistance. If the resistance is below.
"
"Assembly Issue","N041 SC6500 - fault code 06 comes on when turn on scrub mood "
"Assembly Issue","N041 SC6500 - no cable kit "
"Assembly Issue","tried to move recovery tank as far to the right as possible. Also tried to adjust the solution tank to be farther to the left but still rubs. "
"5 - Quality Issue - Assembly","Did not need beacon kit"
"Assembly Issue","7765/M577 MISSING DASH BOARD FROM SUB 5"
"5 - Quality Issue - Assembly","SC6500/N363 Quick link cable is set up wrong "
"5 - Quality Issue - Assembly","SC6500/N363 drive wheel Chain roller (PN 56412198) is loose "
"5 - Quality Issue - Assembly","CS7010/M514 hydraulic torque seal is broken "
"5 - Quality Issue - Assembly","CS7010/M514 squeegee guard does not have a free falling "
"Assembly Issue","N363 SC56500 - unable to print label . LN is down on some PC "
"2 - Quality Issue - Appearance","FL849: tape inside recovery tank. Use GoGo to remove it."
"Assembly Issue","CS7010-M514-screen shot saver is not working for hot test"
"Assembly Issue","solution tank is warped. recovery tank bumps into it when closing. moved recovery tank as far to the right as possible and tried to adjust solution tank. "
"5 - Quality Issue - Assembly","FL848: charger node ID is at 10 which should be at 100. This would indicate LED light to blink when charging."
"4 - Quality Issue - Functional","CS7010/M695 both side broom not going down enough on floor when rotating."
"Part Shortage","missing hopper cover and impeller assy
 cs7010 "
"Part Shortage","missing shaker cs7010"
"Part Shortage","Missing hopper (507087)."
"Assembly Issue","N362 SC6500 - water leaking from shut off valve "
"5 - Quality Issue - Assembly","M841: laser and breakout box cables are connected wrong from the right side. Short cable should connect to front laser and long cable connect to rear laser."
"5 - Quality Issue - Assembly","FL841: zip-tie is not fully cut from end and plug was slide out from zip tie tree."
"Assembly Issue","FL849 SC50 Swapped out speed controller as insisted. Still doesn't drive."
"5 - Quality Issue - Assembly","SC6500/N345 drive wheel chain too loose."
"Assembly Issue","FL841 SC50 MO# seems to of have been completed in LN. Can't verify if it was clocked out properly. "
"Part Shortage","CS7010/M514 - Missing filter 56510354"
"5 - Quality Issue - Assembly","Battery spacers not installed properly "
"Assembly Issue","N345 SC6500 - no vacuum pressure readings "
"Part Shortage","missing hopper cover cs7010
"
"5 - Quality Issue - Assembly","N344: both wheel caster do not have grease. Requires to have grease."
"Assembly Issue","Main harness electrical connector for drive wheel harness is broken."
"Assembly Issue","CS7010-M692-fault code for shaker "
"5 - Quality Issue - Assembly","Seat stand not falling into position "
"4 - Quality Issue - Functional","M947: vacuum turns on when operator get off seat. For more information, ask Abe."
"Part Shortage","CS7010/M695 - Missing filter 56510354"
"Assembly Issue","hopper cylinder upper fitting mounted at an angle scraping chassis causing loose fitting "
"Part Shortage","out of latch for back of squeegees."
"5 - Quality Issue - Assembly","SC7010/M571 side broom door latch does not lineup correctly "
"Part Shortage","missing steering columns from sub2"
"3 - Quality Issue - Supplier","SW8000/M446 Cover center assy part number (56507042 )is not lineup with the machine."
"5 - Quality Issue - Assembly","SW8000/M446 Solution tank does not lineup with chassis. "
"Part Shortage","missing hopper cover cs7010"
"Part Shortage","Missing Latches (471194) for squeegees"
"5 - Quality Issue - Assembly","When opening rec tank from machine, it fell due to not being attached by lanyard after rework causing vacuum harness connector to break"
"Assembly Issue","fl849 sc50 liberty - broke a bolt inside drive wheel weldment when trying to assemble solution tank on chassis "
"Assembly Issue","SW8000-M446-battery positive wire (red wire) is expose"
"5 - Quality Issue - Assembly","Hardware loose on controller "
"Part Shortage","missing engine cover 56507877"
"Part Shortage","waiting for cap grease "
"Assembly Issue","N367/Sc6500-Steering wheel chain is loose "
"Part Shortage","waiting for cap grease part# 56483135"
"Assembly Issue","N351/Sc6500- Loose chain on steering wheel"
"4 - Quality Issue - Functional","SW8000/M445 hopper won’t come back down it goes up but not down "
"5 - Quality Issue - Assembly","SC8000/M672 under hopper has dirts in it."
"5 - Quality Issue - Assembly","SC8000/M672 has wrong literature package for SC8000."
"2 - Quality Issue - Appearance","SC8000/M672  has bubbles on warning hot decal (56016363)."
"5 - Quality Issue - Assembly","SW8000/M445 valve Assy for side broom are loose "
"Part Shortage","Machine #848 Missing part #56004189"
"2 - Quality Issue - Appearance","SC6500/N366 I know she do not really check cosmetics, but this hopper looks like it have been use before "
"5 - Quality Issue - Assembly","SC6500/N366 drive wheel chain is too tight "
"5 - Quality Issue - Assembly","SC6500/ N391 has a loose drive wheel chain."
"4 - Quality Issue - Functional","M568: M17 deck timing is off at 2.0 amps. Should be at 0.0 amps. Need Nic to troubleshoot."
"5 - Quality Issue - Assembly","M568: loose bolt and washer from right side front metal bumper."
"5 - Quality Issue - Assembly","M568: harnesses wire should be over the plug. Not under."
"5 - Quality Issue - Assembly","M568: main broom door latch has resistance when lifting latch up to open main door."
"Assembly Issue","CS7010-M568-ecoflex tube is stretched put under the seat"
"Assembly Issue","Brake was a little loose on the left side. Would only lock on about 1/2 of the rotor. "
"5 - Quality Issue - Assembly","CS7010/M743 Nonconformance: “ Scrub deck actuator does not time out correctly”."
"Assembly Issue","Main harness electrical wire connector won't click into the charging board. Male terminal seems to not fit with charging board."
"5 - Quality Issue - Assembly","FL841: Zip-tie was not install to secure Single Ground wire so it was grind with steering wheel and brown wire from main harness for flow meter was cut. "
"5 - Quality Issue - Assembly","CS7010/M743 missing front decal."
"Part Shortage","missing hopper cover cs7010"
"Part Shortage","missing  side  broom sw8000"
"Assembly Issue"," fl848 sc50 liberty- equipment tools / impact gun isn't working "
"5 - Quality Issue - Assembly","Missing screws on interface panel "
"Part Shortage","missing impeller assy cs7010"
"4 - Quality Issue - Functional","Hopper cover squeaks when opening "
"Assembly Issue","FL841 SC50 Liberty - Panel is showing that the solution tank is out of water when its not."
"5 - Quality Issue - Assembly","M566/CS7010: Loose hardware on Hopper Weldment."
